empresa_id,camara_id,nom_comuna,nom_region,tipo_tension,codigo_placa,propiedad,cudn,cant_redes_mt,cant_redes_bt,datum,zona,x,y,lat,long
18,9426838,Padre Las Casas,La Araucanía,MT,1000364931,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,183156.081,5702682.192,-38.77032780,-72.64898840
18,1717011616,Padre Las Casas,La Araucanía,MT,1165080,Inst. de distribució,BAAV00111,1,0,PSAD56,19,169420.302,5700799.443,-38.78221750,-72.80765960
18,9426841,Padre Las Casas,La Araucanía,MT,1000364934,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,183129.892,5702776.107,-38.76947380,-72.64924610
18,9426839,Padre Las Casas,La Araucanía,MT,1000364932,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,183143.134,5702730.272,-38.76989070,-72.64911510
18,1717011618,Padre Las Casas,La Araucanía,MT,1122702,Inst. de distribució,BAAV00111,1,0,PSAD56,19,169474.084,5700816.564,-38.78208370,-72.80703360
18,1717011612,Padre Las Casas,La Araucanía,MT,1122786,Inst. de distribució,BAAV00111,1,0,PSAD56,19,169523.174,5700840.313,-38.78188850,-72.80645830
18,1717011610,Padre Las Casas,La Araucanía,MT,1122785,Inst. de distribució,BAAV00111,1,0,PSAD56,19,169525.690,5700830.293,-38.78197960,-72.80643420
18,9426840,Padre Las Casas,La Araucanía,MT,1000364933,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,183171.323,5702632.928,-38.77077630,-72.64883590
