empresa_id,tirante_id,poste_id,propiedad,cudn,apoyo,muerto,datum,zona,x,y,lat,long
18,1475854,761995,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178685.811,5699982.710,-38.79298630,-72.70159490
18,1475855,655362,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175546.873,5699450.349,-38.79662380,-72.73791200
18,1475856,657497,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175372.555,5698340.598,-38.80653860,-72.74043740
18,1475857,659647,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177446.793,5700566.624,-38.78728310,-72.71555870
18,1475866,759904,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176919.627,5700902.551,-38.78406940,-72.72145820
18,1475880,762859,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181660.145,5699185.587,-38.80123380,-72.66778540
18,1475881,712200,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180135.217,5700657.769,-38.78744280,-72.68462740
18,1475893,656447,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176582.803,5699580.552,-38.79583370,-72.72594750
18,1475895,707180,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182947.595,5700595.919,-38.78901480,-72.65234150
18,1475897,757888,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178361.462,5700798.283,-38.78553400,-72.70494170
18,1475904,710956,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173490.866,5700148.742,-38.78958480,-72.76120580
18,1475920,6369707,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171370.173,5696716.558,-38.81965780,-72.78720580
18,1475930,657453,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178879.378,5699986.097,-38.79302640,-72.69936920
18,1475932,758858,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175647.769,5697874.019,-38.81083550,-72.73749410
18,1475941,709898,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175656.712,5700043.799,-38.79132780,-72.73637090
18,1475951,654025,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176383.340,5699335.248,-38.79796630,-72.72835450
18,1475956,766101,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172227.271,5697532.920,-38.81263670,-72.77696630
18,1475957,660455,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181530.215,5699265.702,-38.80046640,-72.66924160
18,1475958,759686,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180138.573,5700555.611,-38.78836270,-72.68463620
18,1475970,654307,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174837.159,5700989.613,-38.78252120,-72.74534170
18,1475971,709266,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173212.881,5696912.396,-38.81858250,-72.76593320
18,1475984,655074,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,170139.436,5700137.937,-38.78843460,-72.79971470
18,1476005,757795,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176708.620,5700161.925,-38.79065200,-72.72422940
18,1476006,705028,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175823.757,5697893.036,-38.81072920,-72.73546260
18,1476008,706126,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173737.782,5698450.588,-38.80494580,-72.75917210
18,1476014,706387,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181802.140,5702079.557,-38.77526000,-72.66481920
18,1476017,653886,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172944.942,5701052.860,-38.78125280,-72.76704950
18,1476069,653212,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172085.466,5696519.219,-38.82169880,-72.77907830
