empresa_id;conductor_id;tipo_conductor;cudn;detalle;cap_diseno;cap_termica;x_s0;x_s1;r_s0;r_s1;mat_conductor;tipo_proteccion;mat_aislante;separacion_fases;seccion_valor;seccion_unid
18;186383755;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000013;CU 13 MM2 1C;;;;;;;Cobre;Desnudo;Desnudo;;0;mm2
18;24568758;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000013;CU 13.3 MM2 1C;99;84.15;1.693;0.405;1.503;1.355;Cobre;Desnudo;Desnudo;;0;mm2
18;24552605;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000013;COND DESN AER B.T. ALAMBR COBRE 0F 000/013;99;84.15;1.693;0.405;1.503;1.355;Cobre;Desnudo;Desnudo;;0;mm2
18;24566992;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000016;CU 16 MM2 1C;114;96.9;1.686;0.398;1.225;1.077;Cobre;Desnudo;Desnudo;;0;mm2
18;24550629;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000016;COND DESN AER B.T. ALAMBR COBRE 0F 000/016;114;96.9;1.686;0.398;1.225;1.077;Cobre;Desnudo;Desnudo;;0;mm2
18;24552660;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000016;CU 16 MM2 1C;114;96.9;1.686;0.398;1.225;1.077;Cobre;Desnudo;Desnudo;;0;mm2
18;24550447;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000017;CU 16 MM2 1C;114;96.9;1.686;0.398;1.225;1.077;Cobre;Desnudo;Desnudo;;0;mm2
18;24565737;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000021;CU 21 MM2 1C;126;107.1;1.668;0.401;1.099;0.951;Cobre;Desnudo;Desnudo;;0;mm2
18;24567792;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000025;CU 25 MM2 1C;146;124.1;1.661;0.394;0.904;0.756;Cobre;Desnudo;Desnudo;;0;mm2
18;24565968;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000027;CU 26.7 MM2 1C;146;124.1;1.661;0.394;0.904;0.756;Cobre;Desnudo;Desnudo;;0;mm2
18;24567106;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000034;CU 33.6 MM2 1C;195;165.75;1.66;0.372;0.696;0.548;Cobre;Desnudo;Desnudo;;0;mm2
18;24735409;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000034;CU 33.6 MM2 1C;195;165.75;1.66;0.372;0.696;0.548;Cobre;Desnudo;Desnudo;;0;mm2
18;24569492;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000054;CU 53.5 MM2 1C;266;226.1;1.645;0.358;0.493;0.345;Cobre;Desnudo;Desnudo;;0;mm2
18;24569567;AlambreAéreoCobreDesnudoSolo N;CDAACU7B000067;CU 67.4 MM2 1C;307;260.95;1.638;0.35;0.422;0.274;Cobre;Desnudo;Desnudo;;0;mm2
