empresa_id,nodo_id,tipo_soporte,poste_camara_id,rotulo_poste_camara,alimentador_id,nom_comuna,nom_region,densidad_red,tension,datum,zona,y,x,lat,long
18,38267508,poste,38297,157749,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5702956.894,185616.944,-72.62059360,-38.76873760
18,38267650,poste,1716587575,1125516,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5701806.431,190253.805,-72.56784110,-38.78072480
18,38267666,poste,24693,224758,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5697583.067,189422.995,-72.57928910,-38.81841630
18,38267864,poste,758867,225100,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5695906.213,195342.638,-72.51197460,-38.83556610
18,38268316,poste,738453,244934,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705580.273,186295.547,-72.61160730,-38.74538590
18,38268319,poste,729332,157117,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705035.189,186644.665,-72.60784510,-38.75041210
18,38268430,poste,712109,267129,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5697533.708,193123.051,-72.53677350,-38.82015720
18,38268473,poste,9866549,1025169,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5697296.891,191032.372,-72.56091560,-38.82155620
18,38268580,poste,9624416,999739,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5695862.058,191365.573,-72.55772780,-38.83457770
18,38268730,poste,657438,224972,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5696825.338,188417.467,-72.59119130,-38.82487580
18,38268906,poste,1716711886,227871,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5695695.337,192575.811,-72.54388570,-38.83650070
18,38269175,poste,1716202104,1067340,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705664.979,187279.242,-72.60027220,-38.74497300
18,38270190,poste,8123200,798477,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5703117.415,188643.230,-72.58575560,-38.76836710
18,38270608,poste,1716193453,PCTCO_X01,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5704911.599,188287.838,-72.58902900,-38.75210530
18,38270695,poste,708364,165033,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5701210.519,184897.249,-72.62965810,-38.78418650
18,38272421,poste,1716850609,227907,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5696981.282,192986.423,-72.53859050,-38.82507820
18,38272507,poste,78920,208774,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5704458.828,188322.594,-72.58883390,-38.75618960
18,38272745,poste,24805,242566,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5704680.046,187918.979,-72.59337000,-38.75405750
18,38273331,poste,1717128709,1152381,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5697839.655,194461.818,-72.52124590,-38.81787100
18,38273491,poste,1716231409,1082220,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5701862.401,190271.794,-72.56760930,-38.78022770
18,38273671,poste,104996,244616,675,Temuco,La Araucanía,,15.000,PSAD56,19,5705287.896,186139.391,-72.61353330,-38.74795990
