empresa_id,td_id,alimentador_id,propiedad,cudn,nom_comuna,nom_region,nodo_at_id,nodo_bt_id,codigo_placa,cap_nom_kva,tipo_cnx,num_fases,fases_id,tension_prim,tension_sec,z,tap_min,tap_max,tap_op_normal,regulacion,dda_min_dia,dda_min_noche,dda_max,coci_mt,datum,zona,x,y,long,lat
18,451552,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39327981,39511282,225220,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,194558.638470681,5696059.9912419,-72.5209220,-38.8339113
18,451788,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38611551,38610656,225321,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,195545.029494752,5695430.49917535,-72.5098575,-38.8399149
18,451917,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,38083908,38041154,225128,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,189898.610309524,5698641.10981044,-72.5733453,-38.8090681
18,452676,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39145027,39229704,224695,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,192166.8846457,5694601.64834751,-72.5490772,-38.8461944
18,452728,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37709539,37791665,266226,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188713.979831136,5703623.98656791,-72.5847145,-38.7638361
18,452969,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39493011,39567137,237613,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,192742.243223761,5695225.90482397,-72.5421813,-38.8407809
18,452984,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,39452256,39423499,225267,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,196038.297362716,5696204.61562968,-72.5038429,-38.8331227
18,453176,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,39884504,38629601,206934,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,190447.279857229,5703044.2284502,-72.5650631,-38.7696601
18,453591,675,Inst. de prop. terceros no concesionarios de distribución,SA1AS5520005,9112,La Araucanía,,,206836,10,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,190500.428897294,5699828.16183961,-72.5658947,-38.7986036
18,620675,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,38258642,38252139,495239,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188690.055824623,5698035.58618754,-72.5875105,-38.8140878
18,639661,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39398137,40272168,1060543,10,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,187293.0868368,5695168.92378741,-72.6048704,-38.8393740
18,647882,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38108127,38333384,237486,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,190377.167927325,5701963.15417602,-72.5663534,-38.7793585
18,1884932,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,40037512,39805520,225265,10,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,195914.152099611,5696195.72552687,-72.5052744,-38.8331598
18,1886180,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39065538,38776379,1117166,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,194446.670693283,5694618.91503288,-72.5228494,-38.8468337
18,1973094,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,39388795,39393371,237619,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,191964.176661077,5702786.05136512,-72.5477513,-38.7725131
18,1987961,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,40171499,40305626,225274,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,196536.220377937,5696210.45314147,-72.4981145,-38.8332420
18,2016484,675,Inst. de prop. terceros no concesionarios de distribución,SA1AS5520005,9112,La Araucanía,,,500102,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188936.890583753,5702412.91016369,-72.5826993,-38.7748068
18,2016568,675,Inst. de prop. terceros no concesionarios de distribución,SA2AS5520005,9112,La Araucanía,,,500104,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,189454.238581504,5702550.69247565,-72.5766935,-38.7737499
18,2016648,675,Inst. de prop. terceros no concesionarios de distribución,SA1AS5520005,9112,La Araucanía,,,500103,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188918.821911691,5702312.46388964,-72.5829521,-38.7757038
18,2016755,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39231875,38529246,500116,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,189048.481707297,5702455.3758773,-72.5813981,-38.7744642
18,2082603,675,Inst. de prop. terceros no concesionarios de distribución,SA1AS5520005,9112,La Araucanía,,,493031,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188497.879855315,5704559.5740008,-72.5867752,-38.7553454
18,2082972,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,39079510,39583212,494766,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,191298.834337236,5703562.53383609,-72.5550484,-38.7652968
18,2118971,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9101,La Araucanía,38684687,38954488,1129784,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,186779.966284134,5704762.52727821,-72.6064147,-38.7529123
18,2149039,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,38424671,38418835,912554,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,186768.025293942,5703897.63333175,-72.6069438,-38.7606865
18,2152931,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9101,La Araucanía,38364949,38448525,156858,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,187371.710462229,5705660.68311949,-72.5992122,-38.7450444
18,2158963,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37686731,39098617,929296,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,193609.169991764,5694262.01146041,-72.5326406,-38.8497525
18,2174389,675,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,38189706,38317106,237490,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,190583.899533647,5701841.62342852,-72.5640325,-38.7805241
18,2206574,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39174830,37804343,206639,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188402.759964456,5697120.86729147,-72.5912267,-38.8222128
18,2225524,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38498148,39887281,572519,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188355.848943569,5695138.46589497,-72.5926632,-38.8400249
18,2289512,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38897896,38904205,585326,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,190957.756363611,5697452.51100322,-72.5617036,-38.8201304
18,2307169,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38878940,39473844,1024102,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,192056.386433149,5695099.31923752,-72.5501254,-38.8416797
18,2307338,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38588685,37689604,228026,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,196428.675476534,5697053.34009823,-72.4989796,-38.8256236
18,3022386,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37959451,37926753,206661,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,187616.110796243,5696657.04342425,-72.6004807,-38.8261054
18,3023764,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39917135,39966876,206806,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,189899.08243459,5701393.24793341,-72.5721025,-38.7843162
18,3024109,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39357593,38022135,206816,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,189881.536264713,5701157.07717109,-72.5724103,-38.7864341
18,4062580,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38640240,38712850,224897,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,193857.846349703,5696584.07750773,-72.5287476,-38.8289541
18,4073504,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39906050,40053347,610785,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,184796.884104978,5702262.1926641,-72.6303311,-38.7746926
18,4078171,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38345295,38140539,610791,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,185000.945757256,5701883.76132234,-72.6281594,-38.7781689
18,4137789,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,40267306,40325851,626107,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,187583.886680497,5697249.34786067,-72.6005826,-38.8207672
18,5314615,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37700133,37781132,651151,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,198483.247572868,5696934.46285664,-72.4754073,-38.8273988
18,5430928,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39213479,38032013,165152,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,184296.119675952,5701617.88126481,-72.6363787,-38.7803080
18,5617530,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38692329,38618747,686688,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,185828.611292288,5702207.4010725,-72.6185030,-38.7755535
18,5658413,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37599762,39997854,669278,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188396.259800975,5695864.67039841,-72.5918698,-38.8335081
18,5661397,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37864154,38855688,668921,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,187910.971805511,5696685.45670404,-72.5970778,-38.8259545
18,5684096,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38328832,38295749,668918,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188352.029319525,5697634.3092094,-72.5915777,-38.8175771
18,5690832,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38683302,38720639,228427,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,197060.192326409,5695090.78058388,-72.4925819,-38.8434933
18,5711207,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37979759,37992108,688075,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,184430.379916913,5702121.393792,-72.6346060,-38.7758278
18,6030075,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38694024,38863405,1020076,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,190912.500794636,5697149.88799757,-72.5623597,-38.8228362
18,6151074,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,40125688,40160070,237614,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,192102.664273042,5702463.23205747,-72.5463041,-38.7754649
18,6400144,675,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39127299,39246133,671413,10,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188500.873939281,5697210.17151699,-72.5900584,-38.8214443
18,6729928,675,Inst. de prop. terceros no concesionarios de distribución,SA1AS5520005,9112,La Araucanía,,,689654,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,192145.888223445,5702431.42650248,-72.5458217,-38.7757660
