empresa_id,poste_id,nom_comuna,nom_region,tipo_tension,codigo_placa,propiedad,cudn,altura_poste,material,disp_postacion,cant_redes_mt,cant_redes_bt,datum,zona,x,y,lat,long
18,1716160354,Padre Las Casas,La Araucanía,MT,986531,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,0,PSAD56,19,188296.635,5704892.924,-38.75227640,-72.58893630
18,38350,Padre Las Casas,La Araucanía,MT,206795,Inst. de distribució,PA100H2,10.000,Hormigón,remate,1,0,PSAD56,19,188340.026,5697358.644,-38.82005210,-72.59184040
18,712466,Padre Las Casas,La Araucanía,BT,224934,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,188795.428,5695844.256,-38.83383290,-72.58728920
18,653641,Padre Las Casas,La Araucanía,BT,185008,Inst. de distribució,PA080H1,8.000,Hormigón,paso,0,1,PSAD56,19,188978.543,5701888.647,-38.77953650,-72.58245690
18,661360,Padre Las Casas,La Araucanía,BT,231936,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,190944.345,5698058.000,-38.81468000,-72.56158620
18,2037007,Temuco,La Araucanía,BT,500397,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187622.215,5705645.003,-38.74527410,-72.59634250
18,759009,Padre Las Casas,La Araucanía,BT,165034,Inst. de distribució,PA080H1,8.000,Hormigón,paso,0,1,PSAD56,19,184887.971,5701174.387,-38.78450810,-72.62978120
18,7941327,Padre Las Casas,La Araucanía,BT,802424,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,191972.913,5699319.452,-38.80369480,-72.54919830
18,789277,Padre Las Casas,La Araucanía,BT,237079,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,194620.314,5697125.763,-38.82434690,-72.51974020
18,770563,Padre Las Casas,La Araucanía,BT,15140,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,2,PSAD56,19,186987.591,5704054.868,-38.75935030,-72.60435050
18,677559,Temuco,La Araucanía,BT,157081,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186807.199,5705120.335,-38.74970400,-72.60593980
18,1717259457,Padre Las Casas,La Araucanía,MT,1243668,Inst. de distribució,PA115H2,11.500,Hormigón,remate,2,0,PSAD56,19,197583.403,5696158.165,-38.83407270,-72.48609530
18,765249,Padre Las Casas,La Araucanía,BT,225308,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,195040.580,5695773.028,-38.83665940,-72.51550710
18,753484,Padre Las Casas,La Araucanía,BT,270932,Inst. de distribució,PA090H2,9.000,Hormigón,,0,1,PSAD56,19,188578.797,5704585.688,-38.75513910,-72.58583400
18,2016372,Padre Las Casas,La Araucanía,BT,500102,Inst. de prop. terce,PA115H2,11.500,Hormigón,,1,1,PSAD56,19,188936.891,5702412.910,-38.77480680,-72.58269930
18,5523663,Padre Las Casas,La Araucanía,MT,651035,Inst. de distribució,PA115H2,11.500,Hormigón,derivación,2,1,PSAD56,19,189531.101,5701534.144,-38.78291950,-72.57626750
18,9594941,Padre Las Casas,La Araucanía,BT,984151,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,189548.409,5702785.245,-38.77167350,-72.57550610
18,2253825,Padre Las Casas,La Araucanía,MT,585061,Inst. de prop. terce,PA115H2,11.500,Hormigón,,1,0,PSAD56,19,187493.045,5704452.284,-38.75595520,-72.59836500
18,78811,Padre Las Casas,La Araucanía,MT,228180,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,0,PSAD56,19,196196.323,5696250.109,-38.83276800,-72.50200560
18,1716823138,Temuco,La Araucanía,MT,156883,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,186919.718,5705827.507,-38.74338390,-72.60432740
18,655520,Padre Las Casas,La Araucanía,BT,165154,Inst. de distribució,PA080H1,8.000,Hormigón,paso,0,1,PSAD56,19,184399.872,5701627.889,-38.78025510,-72.63518210
18,655351,Padre Las Casas,La Araucanía,BT,206683,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,190296.602,5695539.809,-38.83710050,-72.57016470
18,2016398,Padre Las Casas,La Araucanía,MT,500118,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,0,PSAD56,19,189151.987,5702476.620,-38.77430960,-72.58019940
18,708214,Padre Las Casas,La Araucanía,BT,244032,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,193226.378,5695646.543,-38.83716660,-72.53642620
18,686991,Padre Las Casas,La Araucanía,BT,15412,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188371.033,5703881.519,-38.76139890,-72.58853790
18,8818608,Padre Las Casas,La Araucanía,MT,912171,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,5,PSAD56,19,188405.619,5704924.187,-38.75203370,-72.58767050
18,712215,Padre Las Casas,La Araucanía,BT,255002,Inst. de distribució,PA080H1,8.000,Hormigón,paso,0,1,PSAD56,19,197159.074,5695184.720,-38.84268240,-72.49140320
18,8117897,Padre Las Casas,La Araucanía,MT,793946,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,189550.595,5702889.915,-38.77073290,-72.57543390
18,5549513,Padre Las Casas,La Araucanía,BT,670303,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,189353.125,5702910.671,-38.77047670,-72.57769320
18,756762,Padre Las Casas,La Araucanía,BT,224608,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,190508.970,5696497.824,-38.82855900,-72.56729210
18,761125,Padre Las Casas,La Araucanía,BT,165168,Inst. de distribució,PA080H1,8.000,Hormigón,paso,0,1,PSAD56,19,183478.638,5701974.537,-38.77680760,-72.64560740
18,709231,Padre Las Casas,La Araucanía,BT,227872,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,192533.707,5695637.465,-38.83700650,-72.54439570
18,9057587,Padre Las Casas,La Araucanía,MT,866573,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,0,PSAD56,19,191264.307,5696411.117,-38.82960400,-72.55864610
18,1716580634,Padre Las Casas,La Araucanía,BT,1129052,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,193771.981,5697506.798,-38.82062520,-72.52932470
18,4073609,Padre Las Casas,La Araucanía,BT,585762,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,2,PSAD56,19,184780.739,5702083.162,-38.77629690,-72.63059830
18,802456,Padre Las Casas,La Araucanía,BT,267125,Inst. de distribució,PA090H2,9.000,Hormigón,,0,1,PSAD56,19,193235.940,5697430.999,-38.82112030,-72.53552130
18,1716839221,Padre Las Casas,La Araucanía,BT,205157,Inst. de distribució,PA100H2,10.000,Hormigón,paso,0,1,PSAD56,19,189264.782,5701848.593,-38.77999760,-72.57918610
18,678059,Padre Las Casas,La Araucanía,BT,30142,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188047.550,5703693.291,-38.76297750,-72.59233860
18,1716857527,Padre Las Casas,La Araucanía,MT,264186,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,0,PSAD56,19,189710.975,5705784.398,-38.74475680,-72.57229190
18,4869963,Padre Las Casas,La Araucanía,BT,634440,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,189127.585,5702888.884,-38.77059320,-72.58029410
18,725177,Padre Las Casas,La Araucanía,BT,30745,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,2,PSAD56,19,187036.199,5704103.493,-38.75893020,-72.60377020
18,706063,Padre Las Casas,La Araucanía,BT,224961,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,188861.729,5696828.399,-38.82500540,-72.58608220
18,693224,Temuco,La Araucanía,BT,42073,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186521.304,5705648.902,-38.74484890,-72.60898360
18,654372,Padre Las Casas,La Araucanía,BT,224779,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,191260.348,5697481.510,-38.81997570,-72.55821180
18,24666,Padre Las Casas,La Araucanía,MT,225293,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,1,PSAD56,19,197266.216,5696147.773,-38.83405710,-72.48974740
18,11804,Padre Las Casas,La Araucanía,MT,237486,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,1,PSAD56,19,190377.168,5701963.154,-38.77935850,-72.56635340
18,711482,Padre Las Casas,La Araucanía,BT,206928,Inst. de distribució,PA080H1,8.000,Hormigón,paso,0,1,PSAD56,19,190160.360,5703175.353,-38.76838010,-72.56830060
18,1716850631,Padre Las Casas,La Araucanía,MT,236885,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,1,PSAD56,19,198273.414,5695360.354,-38.84148550,-72.47851000
18,1716175101,Padre Las Casas,La Araucanía,BT,1020069,Inst. de distribució,PA135H1,13.500,Hormigón,,1,1,PSAD56,19,189838.613,5705599.378,-38.74646570,-72.57090900
18,9188074,Padre Las Casas,La Araucanía,BT,918232,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,188445.577,5703190.207,-38.76764260,-72.58799340
18,106747,Temuco,La Araucanía,BT,166592,Inst. de distribució,PA115H2,11.500,Hormigón,,1,1,PSAD56,19,186395.283,5705014.789,-38.75050700,-72.61071840
18,9117723,Padre Las Casas,La Araucanía,BT,823923,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188140.697,5703418.109,-38.76548530,-72.59139290
18,8874904,Padre Las Casas,La Araucanía,MT,919984,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,189226.266,5702845.094,-38.77102180,-72.57918010
18,699067,Padre Las Casas,La Araucanía,BT,237081,Inst. de distribució,PA090H2,9.000,Hormigón,,0,1,PSAD56,19,194583.334,5697030.917,-38.82518710,-72.52020740
18,1716834301,Padre Las Casas,La Araucanía,MT,165015,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,1,PSAD56,19,185224.326,5702330.275,-38.77423300,-72.62538940
18,51220,Padre Las Casas,La Araucanía,MT,237304,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,0,PSAD56,19,191807.313,5702099.027,-38.77863740,-72.54986010
18,1716507896,Padre Las Casas,La Araucanía,MT,1129789,Inst. de prop. terce,PA115H2,11.500,Hormigón,remate,1,0,PSAD56,19,186587.251,5704084.333,-38.75894320,-72.60893560
18,1716226817,Padre Las Casas,La Araucanía,BT,991984,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,189424.330,5700209.198,-38.79479810,-72.57809070
18,8114050,Padre Las Casas,La Araucanía,MT,793925,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,3,PSAD56,19,188549.581,5703134.047,-38.76818440,-72.58682390
18,1716826464,Temuco,La Araucanía,MT,244613,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,2,PSAD56,19,186101.845,5705249.097,-38.74829550,-72.61398210
18,2224523,Padre Las Casas,La Araucanía,MT,494469,Inst. de prop. terce,PA100H2,10.000,Hormigón,remate,1,0,PSAD56,19,188499.225,5704536.808,-38.75555070,-72.58677000
18,803486,Temuco,La Araucanía,BT,166834,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186310.429,5705014.220,-38.75048200,-72.61169320
18,765437,Padre Las Casas,La Araucanía,BT,165179,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,183695.321,5702282.545,-38.77411530,-72.64297690
18,759880,Padre Las Casas,La Araucanía,BT,224986,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,187895.010,5697532.125,-38.81833430,-72.59687780
18,4137092,Padre Las Casas,La Araucanía,MT,610234,Inst. de distribució,PA100H2,10.000,Hormigón,remate,1,1,PSAD56,19,187724.555,5697331.226,-38.82008070,-72.59892830
18,734262,Padre Las Casas,La Araucanía,BT,30117,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,188091.883,5703889.683,-38.76122680,-72.59174070
18,7941315,Padre Las Casas,La Araucanía,BT,802420,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,191844.007,5699314.997,-38.80368980,-72.55068200
18,9330701,Padre Las Casas,La Araucanía,BT,1006208,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,191068.827,5695851.069,-38.83457240,-72.56114500
18,677890,Temuco,La Araucanía,BT,157015,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187410.286,5705832.986,-38.74350840,-72.59869130
18,1716203062,Padre Las Casas,La Araucanía,BT,1066939,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,185966.287,5702914.209,-38.76924590,-72.61659990
18,85954,Padre Las Casas,La Araucanía,MT,158234,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,1,PSAD56,19,185776.348,5701903.330,-38.77826950,-72.61924180
18,5658357,Padre Las Casas,La Araucanía,BT,636968,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,188093.824,5696055.230,-38.83168720,-72.59526100
18,764223,Padre Las Casas,La Araucanía,BT,206699,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,190444.612,5696147.221,-38.83168960,-72.56818960
18,758837,Padre Las Casas,La Araucanía,BT,224700,Inst. de distribució,PA080H1,8.000,Hormigón,paso,0,1,PSAD56,19,192087.619,5694399.093,-38.84798840,-72.55007950
18,657548,Padre Las Casas,La Araucanía,BT,225145,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,2,PSAD56,19,191735.410,5697689.299,-38.81827330,-72.55265720
18,767878,Temuco,La Araucanía,BT,157024,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,187507.591,5705687.006,-38.74485580,-72.59763990
18,9885719,Padre Las Casas,La Araucanía,MT,1027370,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,0,PSAD56,19,191999.252,5695637.195,-38.83682210,-72.55054170
18,787832,Padre Las Casas,La Araucanía,BT,188078,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,190151.436,5701124.422,-38.78682270,-72.56932350
18,9593918,Padre Las Casas,La Araucanía,BT,1006247,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,2,PSAD56,19,189581.040,5702616.317,-38.77320430,-72.57520710
18,9330610,Padre Las Casas,La Araucanía,MT,1008675,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,1,PSAD56,19,191123.812,5695869.950,-38.83442190,-72.56050430
18,695316,Temuco,La Araucanía,BT,157189,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186898.556,5705651.914,-38.74495560,-72.60464990
18,66060,Padre Las Casas,La Araucanía,MT,254912,Inst. de distribució,PA115H2,11.500,Hormigón,remate,2,0,PSAD56,19,187969.411,5703756.671,-38.76237980,-72.59320760
18,772682,Padre Las Casas,La Araucanía,BT,15378,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,188208.032,5704331.801,-38.75729160,-72.59020710
18,706701,Padre Las Casas,La Araucanía,BT,231923,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,190647.647,5698470.604,-38.81086490,-72.56481180
18,713575,Padre Las Casas,La Araucanía,BT,224614,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,190263.689,5696304.311,-38.83021320,-72.57019930
18,654457,Padre Las Casas,La Araucanía,BT,165151,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,184179.512,5701841.632,-38.77825400,-72.63761600
18,1716856778,Padre Las Casas,La Araucanía,MT,230854,Inst. de distribució,PA100H2,10.000,Hormigón,remate,1,1,PSAD56,19,189595.469,5700106.942,-38.79577810,-72.57616990
18,743945,Padre Las Casas,La Araucanía,BT,30191,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,2,PSAD56,19,187653.458,5704061.925,-38.75952270,-72.59669890
18,1716381340,Padre Las Casas,La Araucanía,MT,986134,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,189496.477,5702843.732,-38.77112920,-72.57607640
18,1716826390,Padre Las Casas,La Araucanía,MT,14998,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,3,PSAD56,19,187920.103,5703941.217,-38.76070260,-72.59369070
18,767734,Temuco,La Araucanía,BT,244772,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186360.635,5705447.077,-38.74660690,-72.61092030
18,44812,Padre Las Casas,La Araucanía,MT,495201,Inst. de distribució,PA100H2,10.000,Hormigón,remate,1,1,PSAD56,19,193570.487,5698024.751,-38.81589650,-72.53141090
18,9758416,Padre Las Casas,La Araucanía,BT,1026183,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,190731.608,5698188.573,-38.81343100,-72.56397320
18,9662040,Temuco,La Araucanía,MT,982271,Inst. de distribució,PA115H2,11.500,Hormigón,derivación,2,1,PSAD56,19,186852.109,5705186.263,-38.74912700,-72.60539420
18,1716864379,Padre Las Casas,La Araucanía,BT,458656,Inst. de distribució,PA115H2,11.500,Hormigón,,1,2,PSAD56,19,188622.541,5702703.569,-38.77208180,-72.58617980
18,5633792,Padre Las Casas,La Araucanía,MT,681047,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,0,PSAD56,19,191688.673,5701809.278,-38.78120190,-72.55135270
18,1717300244,Padre Las Casas,La Araucanía,BT,1185007,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,195841.784,5695473.772,-38.83962830,-72.50642560
18,725282,Padre Las Casas,La Araucanía,BT,157730,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,186410.419,5703270.236,-38.76620200,-72.61133620
18,5658358,Padre Las Casas,La Araucanía,BT,636970,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,188103.366,5696126.186,-38.83105240,-72.59511910
18,699746,Temuco,La Araucanía,BT,157174,Inst. de distribució,PA090H2,9.000,Hormigón,,0,1,PSAD56,19,186857.200,5705391.387,-38.74728400,-72.60524280
18,803797,Padre Las Casas,La Araucanía,BT,15519,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188036.105,5703767.764,-38.76230360,-72.59243650
18,6768028,Padre Las Casas,La Araucanía,BT,783834,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188709.497,5702871.432,-38.77060270,-72.58510510
18,785544,Temuco,La Araucanía,BT,244697,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,186316.692,5705430.402,-38.74674130,-72.61143250
18,2223893,Padre Las Casas,La Araucanía,MT,585017,Inst. de prop. terce,PA100H2,10.000,Hormigón,remate,1,0,PSAD56,19,192118.648,5699256.308,-38.80431360,-72.54755140
18,9866549,Padre Las Casas,La Araucanía,MT,1025169,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,0,PSAD56,19,191032.372,5697296.891,-38.82155620,-72.56091560
18,725234,Temuco,La Araucanía,BT,156999,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,187426.594,5705650.629,-38.74515430,-72.59858650
18,749548,Padre Las Casas,La Araucanía,BT,270930,Inst. de distribució,PA090H2,9.000,Hormigón,,0,1,PSAD56,19,188615.290,5704607.807,-38.75495310,-72.58540490
18,9117525,Padre Las Casas,La Araucanía,BT,814150,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,188147.825,5703541.994,-38.76437360,-72.59125510
18,760929,Padre Las Casas,La Araucanía,BT,206614,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,189333.771,5698201.942,-38.81281890,-72.58003580
18,742864,Temuco,La Araucanía,BT,244690,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186138.233,5705514.264,-38.74592370,-72.61344390
