empresa_id,equipo_id,tipo_equipo,marca,tipo_control,tipo_prot,num_operaciones,curva,pick_up,t_dial,adder,descripcion
18,6272093,fusibles,S&C,,T,,20T,20.000,,,
18,6275183,fusibles,S&C,,T,,8T,8.000,,,
18,6720860,fusibles,S&C,,T,,1T,1.000,,,
18,6768341,fusibles,S&C,,T,,8T,8.000,,,
18,6953156,fusibles,S&C,,T,,1T,1.000,,,
18,7932114,fusibles,S&C,,T,,8T,8.000,,,
18,7936711,fusibles,S&C,,T,,3T,3.000,,,
18,8005696,fusibles,S&C,,T,,8T,8.000,,,
18,8132300,fusibles,S&C,,T,,8T,8.000,,,
18,8190135,fusibles,S&C,,T,,8T,8.000,,,
18,8408483,fusibles,S&C,,T,,20T,20.000,,,
18,8636262,fusibles,S&C,,T,,20T,20.000,,,
18,8703433,fusibles,S&C,,T,,8T,8.000,,,
18,8935005,fusibles,S&C,,T,,6T,6.000,,,
18,8949165,fusibles,S&C,,T,,2T,2.000,,,
18,9019454,fusibles,S&C,,T,,3T,3.000,,,
18,9066245,fusibles,S&C,,T,,2T,2.000,,,
18,9068654,fusibles,S&C,,T,,6T,6.000,,,
18,9068672,fusibles,S&C,,T,,6T,6.000,,,
18,9162206,fusibles,S&C,,T,,2T,2.000,,,
18,9330617,fusibles,S&C,,T,,2T,2.000,,,
18,9379046,fusibles,S&C,,T,,15T,15.000,,,
18,9469055,fusibles,S&C,,T,,2T,2.000,,,
18,9485095,fusibles,S&C,,T,,1T,1.000,,,
18,9550561,fusibles,S&C,,T,,8T,8.000,,,
18,9632723,fusibles,S&C,,T,,1T,1.000,,,
18,9718855,fusibles,S&C,,T,,20T,20.000,,,
18,9758866,fusibles,S&C,,T,,6T,6.000,,,
18,9884541,fusibles,S&C,,T,,2T,2.000,,,
18,9885731,fusibles,S&C,,T,,2T,2.000,,,
18,1716487751,fusibles,S&C,,T,,1T,1.000,,,
18,1716493799,fusibles,S&C,,T,,1T,1.000,,,
18,1716507905,fusibles,S&C,,T,,20T,20.000,,,
18,1716520856,fusibles,S&C,,T,,8T,8.000,,,
18,1716529600,fusibles,S&C,,T,,10T,10.000,,,
