empresa_id,boveda_oocc_id,propiedad,cudn,datum,zona,x,y,lat,long
18,2027852,Inst. de prop. terce,BAPD00000,1,19,186636.794,5705610.225,-38.74523770,-72.60767490
18,2238891,Inst. de prop. terce,BAPD00000,1,19,186667.738,5705863.018,-38.74297520,-72.60720500
