empresa_id,toma_tierra_id,elemento_id,tipo_elemento,propiedad,nodo_id,cudn,tipo_toma_tierra,tipo_electrodo,otros,datum,zona,x,y,lat,long
18,2201232,2201239,equipo,Inst. de prop. terce,39136939,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185519.352,5699729.928,-38.79772390,-72.62318490
18,2201244,439294,transformador_dx,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185591.362,5699715.773,-38.79787690,-72.62236380
18,2201360,2201420,equipo,Inst. de prop. terce,38611336,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185594.861,5697511.976,-38.81769750,-72.62332860
18,2201432,452923,transformador_dx,Inst. de distribució,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185606.376,5697509.655,-38.81772240,-72.62319730
18,2201461,2201460,equipo,Inst. de prop. terce,38114002,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186210.277,5701157.995,-38.78512700,-72.61459510
18,2201466,442075,transformador_dx,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186205.494,5701163.687,-38.78507410,-72.61464750
18,2204924,2037899,transformador_dx,Inst. de distribució,37727816,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187238.321,5702363.730,-38.77464850,-72.60223620
18,2205528,1717010792,equipo,Inst. de prop. terce,38610844,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186916.390,5694495.856,-38.84529320,-72.60950830
18,2205560,1717010787,transformador_dx,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186902.309,5694504.221,-38.84521300,-72.60966640
18,2209493,,otro,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186476.338,5701736.673,-38.78001740,-72.61127520
18,2209546,446194,transformador_dx,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185032.922,5696110.193,-38.83010320,-72.63042920
18,2209826,2209827,equipo,Inst. de prop. terce,39564334,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185363.799,5698420.501,-38.80944440,-72.62557000
18,2209833,,otro,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185375.957,5698427.473,-38.80938600,-72.62542710
18,2220160,2220158,equipo,Inst. de prop. terce,40107947,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186915.027,5703065.497,-38.76822250,-72.60563230
18,2220164,442658,transformador_dx,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186899.371,5703045.953,-38.76839270,-72.60582110
18,2230177,2230174,equipo,Inst. de prop. terce,37718173,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186690.284,5702038.294,-38.77738080,-72.60868010
18,2230212,,otro,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186776.195,5701993.332,-38.77781570,-72.60771350
18,2230227,,otro,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186774.595,5701988.684,-38.77785690,-72.60773400
18,2230321,,otro,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186708.966,5702036.188,-38.77740640,-72.60846650
18,2235658,2236670,transformador_dx,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187149.413,5703375.589,-38.76551680,-72.60279930
18,2236641,2236640,equipo,Inst. de prop. terce,37810507,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187141.813,5703372.673,-38.76554030,-72.60288800
18,2247741,443119,transformador_dx,Inst. de distribució,38542335,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188179.380,5694301.480,-38.84748980,-72.59507170
18,2247776,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186936.173,5703516.977,-38.76416960,-72.60518480
18,2247839,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,188326.021,5694644.928,-38.84445300,-72.59322970
18,2247876,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,188112.743,5694317.648,-38.84732080,-72.59583080
18,2247912,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,188264.833,5694366.917,-38.84693160,-72.59405930
18,2247945,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,188392.498,5694168.484,-38.84876140,-72.59268100
