empresa_id,poste_id,nom_comuna,nom_region,tipo_tension,codigo_placa,propiedad,cudn,altura_poste,material,disp_postacion,cant_redes_mt,cant_redes_bt,datum,zona,x,y,lat,long
18,50982,Padre Las Casas,La Araucanía,MT,253521,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,1,PSAD56,19,181414.379,5697462.910,-38.81663660,-72.67140590
18,756151,Padre Las Casas,La Araucanía,BT,166024,Inst. de distribució,PA100H2,10.000,Hormigón,remate,0,1,PSAD56,19,185342.148,5697841.174,-38.81464670,-72.62608330
18,804181,Padre Las Casas,La Araucanía,BT,15368,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186798.584,5703215.115,-38.76683550,-72.60690220
18,51060,Padre Las Casas,La Araucanía,MT,165963,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,3,PSAD56,19,185839.374,5700364.008,-38.79213550,-72.61921840
18,1716587426,Padre Las Casas,La Araucanía,BT,1124422,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,184311.947,5697713.221,-38.81542880,-72.63798390
18,673984,Padre Las Casas,La Araucanía,BT,30720,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186708.935,5703124.991,-38.76761430,-72.60797290
18,764160,Padre Las Casas,La Araucanía,BT,165888,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,184223.629,5698714.992,-38.80638810,-72.63854020
18,24632,Padre Las Casas,La Araucanía,MT,224513,Inst. de distribució,PA115H2,11.500,Hormigón,remate,2,0,PSAD56,19,186295.898,5694650.377,-38.84368260,-72.61657350
18,777532,Padre Las Casas,La Araucanía,BT,30647,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186843.633,5703428.080,-38.76493620,-72.60628810
18,2247888,Padre Las Casas,La Araucanía,BT,572695,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,188299.861,5694327.163,-38.84730160,-72.59367450
18,1716722872,Padre Las Casas,La Araucanía,MT,1117733,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,0,PSAD56,19,179954.275,5695958.253,-38.82963800,-72.68888810
18,696208,Padre Las Casas,La Araucanía,BT,30714,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186829.481,5703073.422,-38.76812080,-72.60661150
18,44620,Padre Las Casas,La Araucanía,MT,165695,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,182089.957,5696991.859,-38.82111680,-72.66385770
18,705318,Padre Las Casas,La Araucanía,BT,228369,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,185869.898,5700126.104,-38.79428600,-72.61897590
18,757598,Padre Las Casas,La Araucanía,BT,253577,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,180693.128,5697151.359,-38.81917710,-72.67984080
18,1716849371,Padre Las Casas,La Araucanía,MT,165626,Inst. de distribució,PA100H2,10.000,Hormigón,derivación,3,0,PSAD56,19,182489.789,5698551.312,-38.80723700,-72.65854300
18,2247530,Padre Las Casas,La Araucanía,MT,583830,Inst. de distribució,PA100H2,10.000,Hormigón,paso,1,0,PSAD56,19,187900.439,5694333.774,-38.84710050,-72.59826510
18,763111,Padre Las Casas,La Araucanía,BT,165814,Inst. de distribució,PA080H1,8.000,Hormigón,,0,1,PSAD56,19,182073.762,5697525.025,-38.81631620,-72.66379790
18,1716852086,Padre Las Casas,La Araucanía,MT,227674,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,0,PSAD56,19,186163.894,5696068.922,-38.83087820,-72.61744480
18,797943,Padre Las Casas,La Araucanía,BT,227778,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,182700.648,5696664.676,-38.82427930,-72.65698820
18,748046,Padre Las Casas,La Araucanía,BT,15353,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,186867.641,5703378.717,-38.76538870,-72.60603470
18,656737,Padre Las Casas,La Araucanía,BT,228379,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,185733.381,5699670.997,-38.79833020,-72.62075210
18,1716850963,Padre Las Casas,La Araucanía,MT,165299,Inst. de distribució,PA100H2,10.000,Hormigón,paso,2,1,PSAD56,19,182392.871,5698848.519,-38.80452930,-72.65952000
18,2310149,Padre Las Casas,La Araucanía,BT,604512,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187084.486,5702314.121,-38.77504010,-72.60402610
18,706261,Padre Las Casas,La Araucanía,BT,227826,Inst. de distribució,PA080H1,8.000,Hormigón,remate,0,1,PSAD56,19,183092.829,5699182.948,-38.80177380,-72.65132170
18,1716847770,Padre Las Casas,La Araucanía,MT,253518,Inst. de distribució,PA100H2,10.000,Hormigón,remate,1,0,PSAD56,19,181202.144,5697467.425,-38.81651920,-72.67384340
18,59426,Padre Las Casas,La Araucanía,MT,165788,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,186610.998,5701959.138,-38.77806450,-72.60962700
