empresa_id,td_id,alimentador_id,propiedad,cudn,nom_comuna,nom_region,nodo_at_id,nodo_bt_id,codigo_placa,cap_nom_kva,tipo_cnx,num_fases,fases_id,tension_prim,tension_sec,z,tap_min,tap_max,tap_op_normal,regulacion,dda_min_dia,dda_min_noche,dda_max,coci_mt,datum,zona,x,y,long,lat
18,2248554,678,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39496438,37828513,572658,10,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,186900.206229017,5694968.50635138,-72.6094793,-38.8410368
18,446071,678,Inst. de distribución de prop. de la concesionaria,SA3AS5020030,9112,La Araucanía,,,227662,45,Dyn1,3,RST,"AT, clase 15 kV o menos",0.380,4,11400,12600,0,0.025,,,,,PSAD56,19,186727.302397448,5695703.83597362,-72.6111330,-38.8343622
18,1717062343,678,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,,,,,,5,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,187131.221336406,5703672.11155457,-72.6028740,-38.7628435
18,438987,678,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39565902,37831916,253521,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,181414.378526603,5697462.91025032,-72.6714059,-38.8166366
18,441116,678,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,38122785,38269370,225037,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,186208.319580579,5694930.44993717,-72.6174529,-38.8411326
18,442120,678,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,38407512,37980610,227796,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,183285.710822031,5698229.67243184,-72.6495429,-38.8104160
18,442645,678,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,39171178,39231513,228365,15,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,185921.30339445,5700339.26260335,-72.6182881,-38.7923873
18,443119,678,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,38542335,40150419,571922,10,Dyn1,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,188179.380445925,5694301.47972595,-72.5950717,-38.8474898
18,443393,678,Inst. de distribución de prop. de la concesionaria,SA1AS5520005,9112,La Araucanía,37855210,37899543,253525,15,Bifásico con neutro,1,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,180988.144831795,5697122.45377045,-72.6764629,-38.8195440
18,445404,678,Inst. de distribución de prop. de la concesionaria,SA2AS5520005,9112,La Araucanía,37924958,39387255,165280,5,Dyn1,2,,"AT, clase 15 kV o menos",0.220,,13200,15180,0,0.036,,,,,PSAD56,19,182373.421737764,5699747.18569174,-72.6593297,-38.7964407
