empresa_id,equipo_id,nom_equipo,propiedad,cudn,tipo_equipo,alimentador_id,nodo_id,tramo_id,estado,tipo_inst,fases_id,ubicación_prot,tension_nom,cap_diseno,Coci_ikss,Coci_iasym,Coci_Ipeak,Coci_Ik,telecomandado,tipo_operacion,datum,zona,x,y,long,lat
18,2036548,DF 8kAR 3ø ubicado en soporte placa 493441,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,39445336,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186493.850,5701151.833,-72.61133960,-38.78528330
18,2036550,DF 8kAR 3F¸ Placa 984182,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,38686726,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186860.190,5702203.894,-72.60665300,-38.77595180
18,2036869,DF 8kAR 3F¸ Placa 493390,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,38312300,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186844.085,5702404.632,-72.60674700,-38.77414080
18,2041350,DF 8kAR 2ø ubicado en soporte placa 500131,Inst. de prop. terce,QC2AA10S01A0010,Desconectadores Fusibles,678,39169012,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,186452.143,5701519.223,-72.61165190,-38.78196440
18,2041745,SC 300A 3F¸ Placa  460483,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,678,39193290,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,185459.725,5699603.734,-72.62392770,-38.79883750
18,2084183,DF 8kAR 3F¸ Placa 492438,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,37810858,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186163.822,5701072.194,-72.61516790,-38.78588210
18,2084241,DF 8kAR 3F¸ Placa 494501,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,38607283,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186274.710,5701288.355,-72.61379550,-38.78397760
18,2084286,DF 8kAR 2F¸ Placa 492440,Inst. de prop. terce,QC2AA10S01A0010,Desconectadores Fusibles,678,38132179,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,186078.629,5700875.369,-72.61623630,-38.78762190
18,2093418,DF 8kAR 3F¸ Placa 492441,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,38142510,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186039.044,5700782.725,-72.61673340,-38.78844100
18,2093502,DF 8kAR 3F¸ Placa 490849,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,38115864,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186174.884,5701092.575,-72.61503150,-38.78570280
