empresa_id,tramo_id,conductor_id,alimentador_id,largo,tipo_disp,num_fases,fases_id,tension,propiedad,datum,zona,x1,y1,x2,y2,nodo_id1,nodo_id2
18,363151,24557780,678,79.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182808.508,5696701.769,182845.573,5696770.559,39885259,40243698
18,363152,24557780,678,82.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182776.149,5696629.126,182808.508,5696701.769,38386779,39885259
18,9047261,24557780,678,48.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,183519.044,5697466.904,183482.176,5697437.223,39306976,39270691
18,363232,24557780,678,102.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182273.919,5699743.684,182373.422,5699747.186,38872439,37924958
18,9047380,24557780,678,21.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182167.587,5695981.196,182146.446,5695979.214,38430809,38467732
18,298993,24557780,678,120.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,184552.447,5697938.788,184555.339,5698054.143,39290687,40246604
18,5314688,24557780,678,49.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182353.643,5697030.265,182308.994,5697012.275,38149535,38175524
18,363240,24557780,678,87.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182172.455,5696971.150,182089.957,5696991.859,39972333,25532612
18,298994,24557780,678,87.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,184555.339,5698054.143,184548.311,5698137.620,40246604,38102203
18,9047260,24557780,678,54.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,183561.369,5697497.649,183519.044,5697466.904,39361739,39306976
18,9047379,24557780,678,50.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182216.269,5695985.773,182167.587,5695981.196,38351777,38430809
18,396687,24557780,678,78.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,186733.415,5701549.854,186810.346,5701550.689,39714032,38700389
18,299750,24557780,678,55.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182672.847,5696422.291,182695.705,5696471.202,39012778,40138203
18,332836,24557780,678,102.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,186097.054,5700742.601,186047.826,5700658.204,38840475,39066182
18,299409,24557780,678,71.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182284.730,5695989.997,182216.269,5695985.773,38303705,38351777
18,9047398,24557780,678,62.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182018.333,5695927.710,181961.506,5695904.564,38635348,38655549
18,362847,24557780,678,92.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,184528.640,5698395.025,184513.058,5698482.257,40061304,40053924
18,9047368,24557780,678,31.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182392.757,5695988.269,182362.766,5695992.142,38118282,38161742
18,2037267,24557780,678,76.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,184541.708,5697871.750,184552.447,5697938.788,39136915,39290687
18,9047383,24557780,678,48.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182120.937,5695969.071,182076.937,5695951.574,38494399,38592068
18,299379,24557780,678,107.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182070.962,5699739.547,182176.389,5699740.441,38838204,38527270
18,362845,24557780,678,94.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,184548.311,5698137.620,184541.064,5698229.098,38102203,38071570
18,363245,24557780,678,44.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182682.134,5696252.007,182675.955,5696294.254,37858017,40285526
18,363258,24557780,678,68.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182491.271,5696001.099,182427.037,5695983.845,38047264,37858975
18,298905,24557780,678,53.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,183597.139,5697535.309,183561.369,5697497.649,39426065,39361739
18,363235,24557780,678,66.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182699.043,5697092.490,182580.776,5697101.549,38282333,27259626
18,298997,24557780,678,99.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,184513.058,5698482.257,184496.351,5698576.396,40053924,40061081
18,299296,24557780,678,96.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182933.693,5696983.164,182955.424,5697074.353,37793004,37856043
18,363243,24557780,678,42.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182664.546,5696337.490,182650.209,5696375.991,39644696,40124547
18,363247,24557780,678,50.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182706.568,5696087.191,182713.274,5696135.712,37962029,39792004
18,332840,24557780,678,115.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,186624.935,5701550.958,186733.415,5701549.854,39284900,39714032
18,363242,24557780,678,73.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182089.957,5696991.859,182019.668,5697008.246,25830898,38282447
18,363386,24557780,678,38.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182431.070,5697079.175,182404.269,5697053.754,37708486,38178180
18,9047406,24557780,678,39.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,181809.968,5695967.175,181777.910,5695987.521,38118297,38874048
18,9047255,24557780,678,52.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,183749.403,5697566.108,183698.566,5697559.182,39757546,39741794
18,9047402,24557780,678,37.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,181840.801,5695949.135,181809.968,5695967.175,39270849,38118297
18,5314683,24557780,678,55.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182308.994,5697012.275,182258.378,5696994.413,38175524,38149858
18,5920226,24557780,678,58.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,183416.559,5697366.283,183379.112,5697322.934,39139369,39097099
18,9047407,24557780,678,37.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,181777.910,5695987.521,181747.620,5696006.750,38874048,38933622
18,299297,24557780,678,104.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,182910.363,5696884.408,182933.693,5696983.164,39287237,37793004
18,9047401,24557780,678,40.000,Aéreo,2,RS,15.000,Inst. de distribució,PSAD56,19,181874.523,5695929.410,181840.801,5695949.135,40087969,39270849
