empresa_id,elemento_id,fecha_utc,fecha_local,p,q,s,i,v
18,678,2023-03-14 07:00:00,2023-03-14 04:00:00,1072.427,-525.748,1194.366,45.000,15415.000
18,678,2022-12-16 11:00:00,2022-12-16 08:00:00,1358.450,-448.969,1430.720,54.000,15311.000
18,678,2022-06-16 16:15:00,2022-06-16 12:15:00,2375.862,-304.692,2395.320,90.000,15417.000
18,678,2023-02-14 07:30:00,2023-02-14 04:30:00,1161.819,-477.725,1256.203,47.000,15399.000
18,678,2022-11-30 23:15:00,2022-11-30 20:15:00,1834.012,-359.551,1868.924,71.000,15279.000
18,678,2022-09-27 10:15:00,2022-09-27 07:15:00,1796.122,-634.143,1904.781,73.000,15188.000
18,678,2022-04-28 17:00:00,2022-04-28 13:00:00,2652.666,-387.112,2680.763,101.000,15475.000
18,678,2022-09-05 20:15:00,2022-09-05 16:15:00,1913.793,-236.067,1928.297,73.000,15355.000
18,678,2023-02-09 00:00:00,2023-02-08 21:00:00,1914.416,-379.927,1951.752,74.000,15416.000
18,678,2022-04-01 12:00:00,2022-04-01 09:00:00,1689.943,-520.253,1768.211,68.000,15205.000
18,678,2023-03-31 05:30:00,2023-03-31 02:30:00,1218.247,-599.489,1357.761,51.000,15378.000
18,678,2022-07-28 13:45:00,2022-07-28 09:45:00,2300.802,-388.934,2333.444,89.000,15171.000
18,678,2022-08-06 01:30:00,2022-08-05 21:30:00,2572.397,-527.402,2625.905,99.000,15432.000
18,678,2022-11-15 19:45:00,2022-11-15 16:45:00,1806.976,-193.609,1817.319,69.000,15267.000
18,678,2022-05-07 07:30:00,2022-05-07 03:30:00,1514.946,-574.849,1620.343,62.000,15413.000
18,678,2022-10-06 06:45:00,2022-10-06 03:45:00,1236.481,-642.130,1393.275,53.000,15383.000
18,678,2022-07-23 12:45:00,2022-07-23 08:45:00,1343.179,-611.076,1475.650,57.000,15192.000
18,678,2023-03-03 02:00:00,2023-03-02 23:00:00,1986.926,-414.430,2029.686,77.000,15372.000
