empresa_id,equipo_id,nom_equipo,propiedad,cudn,tipo_equipo,alimentador_id,nodo_id,tramo_id,estado,tipo_inst,fases_id,ubicación_prot,tension_nom,cap_diseno,Coci_ikss,Coci_iasym,Coci_Ipeak,Coci_Ik,telecomandado,tipo_operacion,datum,zona,x,y,long,lat
18,665,Interrupt.General MT ubicado en soporte placa -220,Inst. de prop. terce,QA3AA30N01N0000,Desconectadores Fusibles,665,39747186,,Normalment,Aéreo,RST,,,0.000,,,,,,No Aplica,PSAD56,19,186749.773,5702476.319,-72.60779800,-38.77346260
18,415275,DF 8kAR 3F¸ Placa 917644,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,39739768,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187772.756,5702677.240,-72.59595440,-38.77201820
18,415385,DF 8kAR 3F¸ Placa 14880,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,39827071,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186969.151,5703736.072,-72.60470680,-38.76221080
18,416621,DF 8kAR 3F¸ Placa 266251,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,38348188,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187595.968,5702313.886,-72.59814980,-38.77522350
18,416807,DF 8kAR 2ø ubicado en soporte placa 271490,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,665,39507388,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,188512.066,5698744.306,-72.58923630,-38.80765090
18,416854,DF 8kAR 2ø ubicado en soporte placa 459868,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,665,39687170,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,186885.707,5699558.232,-72.60756020,-38.79975450
18,417063,DF 8kAR 2F¸ Placa 206175,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,665,38302155,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,187630.911,5699724.572,-72.59892040,-38.79852290
18,417728,DF 8kAR 3F¸ Placa 14886,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,38142299,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187176.768,5703665.394,-72.60235390,-38.76292010
18,417813,DF 8kAR 3F¸ Placa 270697,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,38721978,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,188008.122,5702693.996,-72.59324290,-38.77195080
18,418458,DF 8kAR 3F¸ Placa 1009804,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,39797650,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187471.182,5703601.240,-72.59900100,-38.76360140
18,419297,DF 8kAR 3F¸ Placa 15102,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,40098265,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187620.328,5703947.067,-72.59713140,-38.76054400
18,421637,DF 8kAR 3F¸ Placa 14958,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,38652795,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187705.080,5703061.576,-72.59655820,-38.76853770
18,421712,DF 8kAR 2F¸ Placa 206501,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,665,38137635,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,188490.536,5699860.297,-72.58897960,-38.79760650
18,421896,DF 8kAR 2F¸ Placa 206141,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,665,39873117,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,187343.708,5700360.811,-72.60193270,-38.79269910
18,422015,DF 8kAR 2F¸ Placa 206463,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,665,39600461,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,187603.197,5698836.390,-72.59964130,-38.80650100
18,422756,SC 300A 3F¸ Placa  14779,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,665,40648140,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,187142.054,5703680.876,-72.60274560,-38.76276860
18,422947,DF 8kAR 3F¸ Placa 14940,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,38535483,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187638.954,5702949.303,-72.59736860,-38.76952400
18,425722,DF 8kAR 3F¸ Placa 271818,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,36260984,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187689.321,5702279.691,-72.59709280,-38.77556410
18,426511,SC 300A 3F¸ Placa  865575,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,665,39829724,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,187622.697,5702891.344,-72.59758160,-38.77003950
18,427497,DF 8kAR 3F¸ Placa 14937,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,665,38690809,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187673.499,5703056.005,-72.59692350,-38.76857660
18,427621,SC 300A 3F¸ Placa  14888,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,665,39587970,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,187198.798,5703724.673,-72.60207400,-38.76239480
