empresa_id,camara_id,nom_comuna,nom_region,tipo_tension,codigo_placa,propiedad,cudn,cant_redes_mt,cant_redes_bt,datum,zona,x,y,lat,long
18,9448928,Padre Las Casas,La Araucanía,BT,977658,Inst. de distribució,BAAV00103,0,2,PSAD56,19,187708.450,5702664.404,-38.77211090,-72.59669900
18,2256541,Padre Las Casas,La Araucanía,MT,586131,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,187688.850,5703300.010,-38.76638760,-72.59663680
18,9448930,Padre Las Casas,La Araucanía,BT,977660,Inst. de distribució,BAAV00103,0,1,PSAD56,19,187707.157,5702558.029,-38.77306710,-72.59676200
18,9448929,Padre Las Casas,La Araucanía,BT,977659,Inst. de distribució,BAAV00103,0,2,PSAD56,19,187701.904,5702588.972,-38.77278700,-72.59680830
18,9448927,Padre Las Casas,La Araucanía,BT,977657,Inst. de distribució,BAAV00103,0,2,PSAD56,19,187710.688,5702675.833,-38.77200890,-72.59666820
18,9569770,Padre Las Casas,La Araucanía,BT,1019866,Inst. de distribució,BAAV00103,0,1,PSAD56,19,188331.714,5702734.521,-38.77170070,-72.58950700
18,2256526,Padre Las Casas,La Araucanía,MT,586132,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,187642.730,5703266.590,-38.76667180,-72.59718170
18,2256532,Padre Las Casas,La Araucanía,MT,586134,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,187632.559,5703253.035,-38.76679010,-72.59730470
18,9396120,Padre Las Casas,La Araucanía,BT,1025079,Inst. de distribució,BAAV00103,0,1,PSAD56,19,188354.719,5702741.986,-38.77164170,-72.58923940
18,2256524,Padre Las Casas,La Araucanía,MT,586133,Inst. de prop. terce,BAAV00103,1,0,PSAD56,19,187629.535,5703256.788,-38.76675530,-72.59733770
