empresa_id;td_id;alimentador_id;propiedad;cudn;nom_comuna;nom_region;nodo_at_id;nodo_bt_id;codigo_placa;cap_nom_kva;tipo_cnx;num_fases;fases_id;tension_prim;tension_sec;z;tap_min;tap_max;tap_op_normal;regulacion;dda_min_dia;dda_min_noche;dda_max;coci_mt;datum;zona;x;y;long;lat
18;438958;665;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38136007;39072063;237421;15;Bifásico con neutro;1;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;186808.2812;5699671.187;-72.6083987;-38.7987111
18;441084;665;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;37687821;37711578;206127;10;Bifásico con neutro;1;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;187319.049;5701084.556;-72.6018881;-38.7861814
18;441776;665;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;39575648;39376651;206462;10;Bifásico con neutro;1;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;187573.9709;5698777.776;-72.6000037;-38.8070178
18;443821;665;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;39987581;38494005;206414;5;Dyn1;2;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;186613.3752;5698461.94;-72.6111883;-38.8095171
18;444327;665;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;39112729;39770034;206150;5;Dyn1;2;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;186683.4558;5700371.717;-72.6095151;-38.7923666
18;444667;665;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38520204;39442670;907852;15;Bifásico con neutro;1;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;185975.9683;5697153.86;-72.6191108;-38.8210541
18;446041;665;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;39721097;39651377;456699;5;Dyn1;2;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;187550.8626;5699143.142;-72.6001038;-38.8037237
18;446142;665;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38182311;38252186;206735;10;Dyn1;1;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;187612.3308;5699639.326;-72.5991725;-38.799283
18;446609;665;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38187358;38163296;206197;15;Bifásico con neutro;1;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;186516.0112;5699418.286;-72.6118726;-38.8008817
18;447002;665;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;37655891;39981323;206144;5;Dyn1;2;;15;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;187236.7388;5700278.221;-72.6031994;-38.7934039
