empresa_id,estructura_id,propiedad,elemento_id,tipo_elemento,cudn,clase_tension,detalle cudn,datum,zona,x,y,lat,long
18,9227498,Inst. de distribució,5327132,equipo,ER4BA02A00ENND3,BT,,PSAD56,19,187542.549,5701868.924,-38.77920630,-72.59896490
18,5328222,Inst. de distribució,5327132,equipo,ER3AF06C01BHBD2,Clas,,PSAD56,19,187542.549,5701868.924,-38.77920630,-72.59896490
18,9167774,Inst. de distribució,9167594,equipo,H3AAF06L00D,Clas,,PSAD56,19,187724.310,5703217.462,-38.76714250,-72.59626680
18,9167686,Inst. de distribució,9167594,equipo,EP4BA00A01ENNC2,BT,,PSAD56,19,187724.310,5703217.462,-38.76714250,-72.59626680
18,141664,Inst. de distribució,1716823536,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,186914.428,5703802.585,-38.76159320,-72.60530520
18,216334,Inst. de distribució,1716863930,equipo,ER3AF03C00BHBB2,Clas,,PSAD56,19,188048.510,5702399.247,-38.77461590,-72.59291200
18,1717296119,Inst. de distribució,1716849398,equipo,EP3CF00C03CHBD2,Clas,,PSAD56,19,188524.630,5701501.992,-38.78285380,-72.58784670
18,829070,Inst. de distribució,1716855861,equipo,ER6BA02A00ENND3,BT,,PSAD56,19,188116.756,5702721.574,-38.77174120,-72.59198240
18,5518697,Inst. de distribució,38237,equipo,EP3AF06C04CHBC2,Clas,,PSAD56,19,187521.965,5699995.498,-38.79604770,-72.60004970
18,8106816,Inst. de distribució,8105057,equipo,IHA3A3,Clas,,PSAD56,19,188206.538,5702124.491,-38.77714290,-72.59122050
18,149772,Inst. de distribució,106595,equipo,ER3AF03C00BHBB2,Clas,,PSAD56,19,187689.321,5702279.691,-38.77556410,-72.59709280
18,8251535,Inst. de distribució,8132417,equipo,IHA3A3,Clas,,PSAD56,19,188360.699,5702081.474,-38.77758420,-72.58946870
18,1717069565,Inst. de distribució,5451019,equipo,ER4BA02A00ENND2,BT,,PSAD56,19,187693.234,5700460.269,-38.79192850,-72.59787100
18,9578614,Inst. de distribució,9578601,equipo,ICB1AN,BT,,PSAD56,19,187471.182,5703601.240,-38.76360140,-72.59900100
18,129460,Inst. de distribució,1716863404,equipo,ER2AF04C00BHBD2,Clas,,PSAD56,19,188512.066,5698744.306,-38.80765090,-72.58923630
18,1716392202,Inst. de distribució,1716377965,equipo,ER3CF06C01CHBD4,Clas,,PSAD56,19,187772.756,5702677.240,-38.77201820,-72.59595440
18,971020,Inst. de distribució,1716832244,equipo,IFB2AN,BT,,PSAD56,19,187673.499,5703056.005,-38.76857660,-72.59692350
18,6249224,Inst. de distribució,6249189,equipo,IFB3BN,BT,,PSAD56,19,187986.833,5702053.074,-38.77770750,-72.59377710
18,5484095,Inst. de distribució,5484085,equipo,ICB1AN,BT,,PSAD56,19,187538.337,5699185.288,-38.80334020,-72.60022860
18,206611,Inst. de distribució,1716863352,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187016.752,5703886.799,-38.76087220,-72.60409170
18,4150069,Inst. de distribució,4150040,equipo,ER3AF06C01BHBD2,Clas,,PSAD56,19,187479.323,5703955.982,-38.76041390,-72.59874700
18,1108411,Inst. de distribució,44649,equipo,ICB1AN,BT,,PSAD56,19,187603.197,5698836.390,-38.80650100,-72.59964130
18,1716105674,Inst. de distribució,38196,equipo,ER3CF06C01CHBD4,Clas,,PSAD56,19,188490.536,5699860.297,-38.79760650,-72.58897960
18,896664,Inst. de distribució,51258,equipo,ER6BA02A00ENNB3,BT,,PSAD56,19,188648.221,5702718.269,-38.77195860,-72.58587810
18,9308619,Inst. de distribució,9308618,equipo,ER2CF04C00CHBD3,Clas,,PSAD56,19,188816.069,5699100.552,-38.80455440,-72.58558120
18,209915,Inst. de distribució,6271459,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187314.163,5703809.500,-38.76167280,-72.60071040
18,208614,Inst. de distribució,59566,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187638.954,5702949.303,-38.76952400,-72.59736860
18,8748989,Inst. de distribució,8748984,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187935.980,5702309.761,-38.77538090,-72.59424530
18,135830,Inst. de distribució,1716849205,equipo,ER2AF04C00BHBD2,Clas,,PSAD56,19,186885.707,5699558.232,-38.79975450,-72.60756020
18,2026582,Inst. de distribució,85862,equipo,EA2AF00C02BHBB2,Clas,,PSAD56,19,188830.731,5699360.066,-38.80222560,-72.58529560
18,1983902,Inst. de distribució,1983645,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187643.620,5702458.384,-38.77394080,-72.59753700
18,1716954760,Inst. de distribució,31753,equipo,ER4BA02A00ENND3,BT,,PSAD56,19,188471.345,5699870.643,-38.79750670,-72.58919550
18,2153931,Inst. de distribució,2153909,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187920.419,5702320.010,-38.77528320,-72.59441950
18,1717013928,Inst. de distribució,1716847042,equipo,ER3CF03C00BHBB2,Clas,,PSAD56,19,187622.697,5702891.344,-38.77003950,-72.59758160
18,1988779,Inst. de distribució,44747,equipo,ER3AF06C01BHBD3,Clas,,PSAD56,19,186969.151,5703736.072,-38.76221080,-72.60470680
18,5256864,Inst. de distribució,5664471,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,188159.217,5702492.905,-38.77381270,-72.59159780
18,926568,Inst. de distribució,1716825072,equipo,EP6BA04A04BNNC2,BT,,PSAD56,19,187198.798,5703724.673,-38.76239480,-72.60207400
18,144969,Inst. de distribució,1716848729,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187620.328,5703947.067,-38.76054400,-72.59713140
18,6176910,Inst. de distribució,6176339,equipo,EA3AF00C03BFBB2,Clas,,PSAD56,19,188056.939,5702224.208,-38.77619310,-72.59289430
18,144968,Inst. de distribució,65999,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,186873.271,5703768.261,-38.76188730,-72.60579350
18,1988810,Inst. de distribució,1716825071,equipo,ER3AF06C01BHBD3,Clas,,PSAD56,19,187176.768,5703665.394,-38.76292010,-72.60235390
18,135838,Inst. de distribució,66004,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,187586.957,5704000.577,-38.76005090,-72.59749050
