empresa_id,toma_tierra_id,elemento_id,tipo_elemento,propiedad,nodo_id,cudn,tipo_toma_tierra,tipo_electrodo,otros,datum,zona,x,y,lat,long
18,454236,441776,transformador_dx,Inst. de distribució,39575648,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187573.971,5698777.776,-38.80701780,-72.60000370
18,455307,447907,transformador_dx,Inst. de distribució,38400748,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188233.659,5699410.941,-38.80155700,-72.59213490
18,455534,427497,equipo,Inst. de distribució,38690809,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187673.499,5703056.005,-38.76857660,-72.59692350
18,456448,445702,transformador_dx,Inst. de distribució,38545304,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188048.510,5702399.247,-38.77461590,-72.59291200
18,456625,1877335,transformador_dx,Inst. de distribució,39441529,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188267.162,5698817.092,-38.80690970,-72.59201840
18,457643,,otro,Inst. de distribució,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187334.968,5703782.812,-38.76192020,-72.60048350
18,457725,447596,transformador_dx,Inst. de distribució,39299270,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186694.691,5703588.546,-38.76344020,-72.60792630
18,457734,431757,equipo,Inst. de distribució,38116684,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188922.350,5699291.059,-38.80287860,-72.58427370
18,458477,447107,transformador_dx,Inst. de distribució,38838976,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186615.173,5697559.351,-38.81763500,-72.61157800
18,458748,,otro,Inst. de distribució,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187344.450,5700362.044,-38.79268830,-72.60192360
18,458998,6396971,transformador_dx,Inst. de distribució,39095815,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186199.496,5697387.304,-38.81903430,-72.61643480
18,459325,418458,equipo,Inst. de distribució,39797650,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187471.182,5703601.240,-38.76360140,-72.59900100
18,459326,447332,transformador_dx,Inst. de distribució,39912824,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188283.529,5702568.485,-38.77317690,-72.59013550
18,459636,421637,equipo,Inst. de distribució,38652795,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187705.080,5703061.576,-38.76853770,-72.59655820
18,460090,422015,equipo,Inst. de distribució,39600461,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187603.197,5698836.390,-38.80650100,-72.59964130
18,460217,439812,transformador_dx,Inst. de distribució,40150153,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187574.592,5703297.223,-38.76637220,-72.59795060
18,460578,,otro,Inst. de distribució,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187593.996,5702313.830,-38.77522330,-72.59817250
18,461027,416807,equipo,Inst. de distribució,39507388,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188512.066,5698744.306,-38.80765090,-72.58923630
18,461821,1716954749,transformador_dx,Inst. de distribució,39510372,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,188459.625,5699994.129,-38.79639200,-72.58927440
