empresa_id;nodo_id;tipo_soporte;poste_camara_id;rotulo_poste_camara;alimentador_id;nom_comuna;nom_region;densidad_red;tension;datum;zona;y;x;lat;long
18;39053460;poste;713676;206744;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5700566.897;187649.728;-72.5983227;-38.7909541
18;39053494;poste;757841;206330;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5697461.963;186451.726;-72.6135013;-38.8184527
18;39053528;poste;59566;14940;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5702949.303;187638.954;-72.5973686;-38.769524
18;39057409;poste;24849;458659;665;Padre Las Casas;La Araucanía;;15;PSAD56;19;5702666.117;188539.572;-72.5871499;-38.7723893
18;39061205;poste;38295;157309;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5703029.446;186643.718;-72.6087654;-38.7684504
18;39062401;poste;669668;30332;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703246.132;188137.596;-72.5915061;-38.7670309
18;39062515;poste;761033;205467;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5701391.792;188282.667;-72.5906767;-38.7837594
18;39063061;poste;51185;14801;665;Padre Las Casas;La Araucanía;;15;PSAD56;19;5702799.677;186700.955;-72.6082121;-38.7705371
18;39064410;poste;59465;205689;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5696986.544;185969.864;-72.6192573;-38.8225566
18;39064688;poste;695650;15310;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703992.812;187442.5;-72.5991534;-38.7600696
18;39065269;poste;1716849801;206242;665;Padre Las Casas;La Araucanía;;15;PSAD56;19;5700462.222;188474.566;-72.5888913;-38.7921874
18;39065487;poste;795287;15664;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703102.267;188195.798;-72.5909025;-38.7683453
18;39065936;poste;759977;206070;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5701940.085;187902.662;-72.5947952;-38.7786939
18;39066040;poste;658599;205451;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5701555.189;188606.23;-72.5868851;-38.7824042
18;39066333;poste;1716863003;458786;665;Padre Las Casas;La Araucanía;;15;PSAD56;19;5703101.49;188092.899;-72.5920849;-38.7683159
18;39066760;poste;700707;457028;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703203.619;187936.204;-72.5938389;-38.767342
18;39066880;poste;716894;30216;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703163.941;188184.387;-72.5910057;-38.7677866
18;39066907;poste;711448;206211;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5701056.789;188568.299;-72.5875458;-38.7868732
18;39066925;poste;711425;237441;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5699586.387;186292.755;-72.614362;-38.7992904
18;39068480;poste;710414;206741;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5700484.162;187707.845;-72.5976923;-38.7917188
18;39071360;poste;706133;205466;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5701381.292;188330.721;-72.5901293;-38.7838708
18;39071417;poste;711100;271213;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5699024.229;188093.189;-72.5939243;-38.8049852
18;39071491;poste;675810;255413;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5702384.046;187998.238;-72.5934965;-38.7747349
18;39072048;poste;681125;206537;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5699715.404;188851.738;-72.5848938;-38.7990372
18;39072063;poste;756781;237422;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5699681.116;186784.202;-72.608671;-38.7986133
18;39073029;poste;708254;206749;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5700628.554;187801.726;-72.5965482;-38.7904535
18;39073034;poste;702674;262620;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5704425.176;187673.008;-72.5963102;-38.7562627
18;39073100;poste;737440;206364;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5697943.857;187457.818;-72.6017169;-38.8144764
18;39073155;poste;720940;29998;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5702961.479;187669.567;-72.5970114;-38.7694254
18;39074597;poste;709341;206764;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5700776.009;187763.252;-72.5969236;-38.7891137
18;39074663;poste;724051;206343;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5697600.858;186903.942;-72.6082396;-38.8173644
18;39074721;poste;716574;15648;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703167.667;187694.99;-72.5966261;-38.76758
18;39077382;poste;669618;29989;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5702984.115;187958.484;-72.5936821;-38.769324
18;39078384;poste;770522;458775;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5701383.886;188578.5;-72.587281;-38.783935
18;39079908;poste;711429;206751;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5700571.881;187883.291;-72.5956365;-38.790992
18;39079986;poste;710651;237965;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5697571.158;186348.871;-72.614634;-38.817434
18;39080043;poste;716585;30327;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703009.554;187740.566;-72.596174;-38.7690181
18;39080246;poste;669673;457023;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703000.112;188143.271;-72.591552;-38.7692455
18;39080972;poste;659666;206750;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5700605.973;187844.326;-72.5960688;-38.7906716
18;39081036;poste;762143;206337;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5697592.64;186722.736;-72.6103264;-38.8173739
18;39081095;poste;721055;30298;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5702988.747;187865.797;-72.5947448;-38.7692496
18;39081156;poste;696730;15633;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5703205.588;188192.507;-72.5908936;-38.7674149
18;39082127;poste;795678;15344;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5704117.999;187770.003;-72.5953349;-38.7590596
18;39082374;poste;2052095;255670;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5697412.641;186213.735;-72.6162596;-38.8188115
18;39082634;poste;2153917;560835;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5702305.921;187860.445;-72.5951149;-38.7753887
18;39082989;poste;8814204;910479;665;Padre Las Casas;La Araucanía;;0.22;PSAD56;19;5703588.546;186694.691;-72.6079263;-38.7634402
18;39083523;poste;6765928;763602;665;Padre Las Casas;La Araucanía;;0.38;PSAD56;19;5702617.633;188460.874;-72.5880759;-38.7727976
