empresa_id,cudn,caracter_item_ini,caracter_item_fin,desc_item,valor_opcion,desc_opcion
18,A3AS3,2,2,NÚMERO DE FASES,3,Trifásico
18,A3AS3,3,3,TENSIÓN,A,"AT, clase 15 kV"
18,A3AS3,4,4,CARACTERÍSTICA,S,Subterráneo
18,A3AS3,5,5,CAPACIDAD EN KVA,3,Mayor a 10 y hasta 5
18,A3BA1,1,1,ítem,A,Empalme
18,A3BA1,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BA1,3,3,TENSIÓN,B,BT
18,A3BA1,4,4,CARACTERÍSTICA,A,Aéreo
18,A3BA1,5,5,CAPACIDAD EN KVA,1,Hasta 6 kVA
18,A3BA2,1,1,ítem,A,Empalme
18,A3BA2,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BA2,3,3,TENSIÓN,B,BT
18,A3BA2,4,4,CARACTERÍSTICA,A,Aéreo
18,A3BA2,5,5,CAPACIDAD EN KVA,2,Mayor a 6 y hasta 10
18,A3BA3,1,1,ítem,A,Empalme
18,A3BA3,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BA3,3,3,TENSIÓN,B,BT
18,A3BA3,4,4,CARACTERÍSTICA,A,Aéreo
18,A3BA3,5,5,CAPACIDAD EN KVA,3,Mayor a 10 y hasta 5
18,A3BA4,1,1,ítem,A,Empalme
18,A3BA4,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BA4,3,3,TENSIÓN,B,BT
18,A3BA4,4,4,CARACTERÍSTICA,A,Aéreo
18,A3BA4,5,5,CAPACIDAD EN KVA,4,Mayor a 50 y hasta 1
18,A3BA5,1,1,ítem,A,Empalme
18,A3BA5,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BA5,3,3,TENSIÓN,B,BT
18,A3BA5,4,4,CARACTERÍSTICA,A,Aéreo
18,A3BA5,5,5,CAPACIDAD EN KVA,5,Mayor a 100 y hasta 
18,A3BS1,1,1,ítem,A,Empalme
18,A3BS1,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BS1,3,3,TENSIÓN,B,BT
18,A3BS1,4,4,CARACTERÍSTICA,S,Subterráneo
18,A3BS1,5,5,CAPACIDAD EN KVA,1,Hasta 6 kVA
18,A3BS2,1,1,ítem,A,Empalme
18,A3BS2,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BS2,3,3,TENSIÓN,B,BT
18,A3BS2,4,4,CARACTERÍSTICA,S,Subterráneo
18,A3BS2,5,5,CAPACIDAD EN KVA,2,Mayor a 6 y hasta 10
18,A3BS3,1,1,ítem,A,Empalme
18,A3BS3,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BS3,3,3,TENSIÓN,B,BT
18,A3BS3,4,4,CARACTERÍSTICA,S,Subterráneo
18,A3BS3,5,5,CAPACIDAD EN KVA,3,Mayor a 10 y hasta 5
18,A3BS4,1,1,ítem,A,Empalme
18,A3BS4,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BS4,3,3,TENSIÓN,B,BT
18,A3BS4,4,4,CARACTERÍSTICA,S,Subterráneo
18,A3BS4,5,5,CAPACIDAD EN KVA,4,Mayor a 50 y hasta 1
18,A3BS5,1,1,ítem,A,Empalme
18,A3BS5,2,2,NÚMERO DE FASES,3,Trifásico
18,A3BS5,3,3,TENSIÓN,B,BT
18,A3BS5,4,4,CARACTERÍSTICA,S,Subterráneo
18,A3BS5,5,5,CAPACIDAD EN KVA,5,Mayor a 100 y hasta 
18,A3CA5,1,1,ítem,A,Empalme
18,A3CA5,2,2,NÚMERO DE FASES,3,Trifásico
18,A3CA5,3,3,TENSIÓN,C,"AT, clase 23 kV"
18,A3CA5,4,4,CARACTERÍSTICA,A,Aéreo
18,A3CA5,5,5,CAPACIDAD EN KVA,5,Mayor a 100 y hasta 
18,BAAC00288,1,1,ítem,B,CÁMARAS
18,BAAC00288,2,2,TENSIÓN,A,AT
18,BAAC00288,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC00288,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC00288,5,9,Volumen,00288,En dm3
18,BAAC00512,1,1,ítem,B,CÁMARAS
18,BAAC00512,2,2,TENSIÓN,A,AT
18,BAAC00512,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC00512,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC00512,5,9,Volumen,00512,En dm3
18,BAAC00720,1,1,ítem,B,CÁMARAS
18,BAAC00720,2,2,TENSIÓN,A,AT
18,BAAC00720,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC00720,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC00720,5,9,Volumen,00720,En dm3
18,BAAC00832,1,1,ítem,B,CÁMARAS
18,BAAC00832,2,2,TENSIÓN,A,AT
18,BAAC00832,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC00832,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC00832,5,9,Volumen,00832,En dm3
18,BAAC01000,1,1,ítem,B,CÁMARAS
18,BAAC01000,2,2,TENSIÓN,A,AT
18,BAAC01000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01000,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01000,5,9,Volumen,01000,En dm3
18,BAAC01024,1,1,ítem,B,CÁMARAS
18,BAAC01024,2,2,TENSIÓN,A,AT
18,BAAC01024,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01024,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01024,5,9,Volumen,01024,En dm3
18,BAAC01200,1,1,ítem,B,CÁMARAS
18,BAAC01200,2,2,TENSIÓN,A,AT
18,BAAC01200,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01200,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01200,5,9,Volumen,01200,En dm3
18,BAAC01452,1,1,ítem,B,CÁMARAS
18,BAAC01452,2,2,TENSIÓN,A,AT
18,BAAC01452,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01452,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01452,5,9,Volumen,01452,En dm3
18,BAAC01500,1,1,ítem,B,CÁMARAS
18,BAAC01500,2,2,TENSIÓN,A,AT
18,BAAC01500,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01500,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01500,5,9,Volumen,01500,En dm3
18,BAAC01728,1,1,ítem,B,CÁMARAS
18,BAAC01728,2,2,TENSIÓN,A,AT
18,BAAC01728,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01728,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01728,5,9,Volumen,01728,En dm3
18,BAAC01778,1,1,ítem,B,CÁMARAS
18,BAAC01778,2,2,TENSIÓN,A,AT
18,BAAC01778,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01778,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01778,5,9,Volumen,01778,En dm3
18,BAAC01848,1,1,ítem,B,CÁMARAS
18,BAAC01848,2,2,TENSIÓN,A,AT
18,BAAC01848,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC01848,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC01848,5,9,Volumen,01848,En dm3
18,BAAC02016,1,1,ítem,B,CÁMARAS
18,BAAC02016,2,2,TENSIÓN,A,AT
18,BAAC02016,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC02016,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC02016,5,9,Volumen,02016,En dm3
18,BAAC02352,1,1,ítem,B,CÁMARAS
